Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
4000, 20, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
4000, 30, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
4000, 40, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
4000, 50, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
4000, 60, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
4000, 70, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
4000, 80, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 90, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 100, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 1, 1.180000, 0.000000, 0.320000, 0.570000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 
5000, 10, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
5000, 20, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
5000, 30, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
5000, 40, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
5000, 50, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
5000, 60, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
5000, 70, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 80, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 90, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 100, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 1, 1.240000, 100.000000, 0.340000, 0.440000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 
6000, 10, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
6000, 20, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
6000, 30, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
6000, 40, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
6000, 50, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
6000, 60, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 70, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 80, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 90, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 100, 26.380000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 1, 1.270000, 1000.000000, 0.370000, 0.570000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 
7000, 10, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
7000, 20, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
7000, 30, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
7000, 40, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
7000, 50, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 60, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 70, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 80, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 90, 26.380000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 100, 30.440000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 1, 1.340000, 100.000000, 0.410000, 0.440000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 
8000, 10, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
8000, 20, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
8000, 30, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
8000, 40, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 50, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 60, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 70, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 80, 26.380000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 90, 30.440000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
8000, 100, 34.490000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 1, 1.400000, 1000.000000, 0.440000, 0.440000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 
9000, 10, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
9000, 20, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
9000, 30, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 40, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 50, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 60, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 70, 26.380000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 80, 30.440000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 90, 34.490000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
9000, 100, 39.210000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 1, 1.460000, 100.000000, 0.470000, 0.440000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 
10000, 10, 5.190000, 1000.000000, 0.470000, 0.570000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 
10000, 20, 9.210000, 0.001000, 0.460000, 0.440000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 30, 13.380000, 1.000000, 0.470000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 40, 17.380000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 50, 21.850000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 60, 26.380000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 70, 30.440000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 80, 34.490000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 90, 39.210000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
10000, 100, 43.530000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
