Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
4000, 20, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
4000, 30, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
4000, 40, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
4000, 50, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
4000, 60, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
4000, 70, 6.260000, 1000.000000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 
4000, 80, 11.350000, 0.001000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 90, 16.390000, 1.000000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 100, 21.500000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 1, 1.350000, 0.000000, 0.450000, 0.570000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 
5000, 10, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
5000, 20, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
5000, 30, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
5000, 40, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
5000, 50, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
5000, 60, 6.260000, 1000.000000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 
5000, 70, 11.350000, 0.001000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 80, 16.390000, 1.000000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 90, 21.500000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 100, 26.950000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 1, 1.400000, 100.000000, 0.440000, 0.440000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 
6000, 10, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
6000, 20, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
6000, 30, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
6000, 40, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
6000, 50, 6.260000, 1000.000000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 
6000, 60, 11.350000, 0.001000, 0.600000, 0.440000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 70, 16.390000, 1.000000, 0.600000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 80, 21.500000, 0.100000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 90, 26.950000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
6000, 100, 32.210000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
7000, 1, 1.440000, 1000.000000, 0.480000, 0.570000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 
7000, 10, 1.510000, 100.000000, 0.520000, 0.440000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 
7000, 20, 1.590000, 1000.000000, 0.560000, 0.440000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 
7000, 30, 1.680000, 100.000000, 0.600000, 0.440000, 0.600000, 0.570000, 0.600000, 0.440000, 0.600000, 0.440000, 
