Weights are nan - discard trial 14,16800,0,
Weights are nan - discard trial 14,16800,1,
Weights are nan - discard trial 14,16800,3,
Weights are nan - discard trial 14,19200,3,
Weights are nan - discard trial 14,21600,0,
Weights are nan - discard trial 14,21600,1,
Weights are nan - discard trial 14,21600,2,
Weights are nan - discard trial 14,24000,0,
Weights are nan - discard trial 14,24000,1,
Weights are nan - discard trial 14,24000,2,
Weights are nan - discard trial 16,9600,0,
Weights are nan - discard trial 16,9600,3,
Weights are nan - discard trial 16,14400,0,
Weights are nan - discard trial 16,14400,1,
Weights are nan - discard trial 16,14400,2,
Weights are nan - discard trial 16,14400,3,
Weights are nan - discard trial 16,16800,1,
Weights are nan - discard trial 18,2400,1,
Weights are nan - discard trial 18,2400,2,
Weights are nan - discard trial 18,12000,0,
Weights are nan - discard trial 18,12000,1,
Weights are nan - discard trial 18,12000,2,
Weights are nan - discard trial 18,12000,3,
Weights are nan - discard trial 20,2400,0,
Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
6, 14400, 0.420000, 10.000000, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 
6, 16800, 0.420000, 10.000000, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 0.700000, 0.099940, 
6, 19200, 0.420000, 0.001000, 0.000000, 0.095979, 0.360000, 0.095979, 0.700000, 0.099940, 1.130000, 0.110382, 
6, 21600, 28.520000, 0.100000, 0.360000, 0.095979, 0.700000, 0.099940, 1.130000, 0.110382, 1.450000, 0.095979, 
6, 24000, 54.240000, 10.000000, 0.700000, 0.099940, 1.130000, 0.110382, 1.450000, 0.095979, 1.830000, 0.096019, 
8, 1, 0.410000, 0.100000, 0.000000, 0.103501, 0.000000, 0.101500, 0.000000, 0.139268, 0.000000, 0.141348, 
8, 2400, 0.400000, 100.000000, 0.000000, 0.101500, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 
8, 4800, 0.410000, 0.010000, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 
8, 7200, 0.420000, 100.000000, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 
8, 9600, 0.410000, 0.001000, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 
8, 12000, 0.420000, 10.000000, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 
8, 14400, 0.420000, 10.000000, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 0.700000, 0.099940, 
8, 16800, 0.420000, 0.001000, 0.000000, 0.095979, 0.360000, 0.095979, 0.700000, 0.099940, 1.130000, 0.110382, 
8, 19200, 28.520000, 0.100000, 0.360000, 0.095979, 0.700000, 0.099940, 1.130000, 0.110382, 1.450000, 0.095979, 
8, 21600, 54.240000, 10.000000, 0.700000, 0.099940, 1.130000, 0.110382, 1.450000, 0.095979, 1.830000, 0.096019, 
8, 24000, 87.030000, 0.001000, 1.130000, 0.110382, 1.450000, 0.095979, 1.830000, 0.096019, 2.150000, 0.095939, 
10, 1, 0.400000, 100.000000, 0.000000, 0.101500, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 
10, 2400, 0.410000, 0.010000, 0.000000, 0.139268, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 
10, 4800, 0.420000, 100.000000, 0.000000, 0.141348, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 
10, 7200, 0.410000, 0.001000, 0.000000, 0.126705, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 
10, 9600, 0.420000, 10.000000, 0.000000, 0.130186, 0.000000, 0.095979, 0.000000, 0.095979, 0.360000, 0.095979, 
