Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
4000, 20, 6.570000, 0.010000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 
4000, 30, 7.200000, 0.000000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 
4000, 40, 7.850000, 10.000000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
4000, 50, 8.470000, 0.100000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
4000, 60, 9.130000, 1.000000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 
4000, 70, 55.310000, 0.001000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 
4000, 80, 108.070000, 0.010000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 90, 157.870000, 1.000000, 4.840000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
4000, 100, 210.010000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 1, 5.950000, 0.000000, 3.330000, 0.440000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 
5000, 10, 6.570000, 0.010000, 3.650000, 0.440000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 
5000, 20, 7.200000, 0.000000, 3.930000, 0.440000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 
5000, 30, 7.850000, 10.000000, 4.250000, 0.440000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
5000, 40, 8.470000, 0.100000, 4.560000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 
5000, 50, 9.130000, 1.000000, 4.850000, 0.440000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 
5000, 60, 55.310000, 0.001000, 4.850000, 0.440000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 
5000, 70, 108.070000, 0.010000, 4.850000, 0.440000, 4.840000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 80, 157.870000, 1.000000, 4.840000, 0.440000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
5000, 90, 210.010000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 
