Batch, S_batch, TimeL, L, T1, E1, T2, E2, T3, E3, T4, E4,
1, 1, 2.500000, 1000.000000, 1.720000, 0.440000, 2.500000, 0.440000, 2.320000, 0.560000, 2.610000, 0.440000, 
1, 10, 3.150000, 0.001000, 2.500000, 0.440000, 2.320000, 0.560000, 2.610000, 0.440000, 2.920000, 0.440000, 
1, 20, 4.280000, 10.000000, 2.320000, 0.560000, 2.610000, 0.440000, 2.920000, 0.440000, 3.240000, 0.440000, 
1, 30, 4.410000, 100.000000, 2.610000, 0.440000, 2.920000, 0.440000, 3.240000, 0.440000, 3.530000, 0.440000, 
1, 40, 5.050000, 1.000000, 2.920000, 0.440000, 3.240000, 0.440000, 3.530000, 0.440000, 3.830000, 0.440000, 
1, 50, 5.700000, 100.000000, 3.240000, 0.440000, 3.530000, 0.440000, 3.830000, 0.440000, 4.150000, 0.440000, 
1, 60, 6.330000, 0.010000, 3.530000, 0.440000, 3.830000, 0.440000, 4.150000, 0.440000, 4.440000, 0.440000, 
1, 70, 6.980000, 0.000000, 3.830000, 0.440000, 4.150000, 0.440000, 4.440000, 0.440000, 4.750000, 0.440000, 
1, 80, 7.600000, 10.000000, 4.150000, 0.440000, 4.440000, 0.440000, 4.750000, 0.440000, 4.750000, 0.440000, 
1, 90, 8.240000, 0.100000, 4.440000, 0.440000, 4.750000, 0.440000, 4.750000, 0.440000, 4.750000, 0.440000, 
1, 100, 8.880000, 1.000000, 4.750000, 0.440000, 4.750000, 0.440000, 4.750000, 0.440000, 4.760000, 0.440000, 
1000, 1, 3.150000, 0.001000, 2.500000, 0.440000, 2.320000, 0.560000, 2.610000, 0.440000, 2.920000, 0.440000, 
1000, 10, 4.280000, 10.000000, 2.320000, 0.560000, 2.610000, 0.440000, 2.920000, 0.440000, 3.240000, 0.440000, 
1000, 20, 4.410000, 100.000000, 2.610000, 0.440000, 2.920000, 0.440000, 3.240000, 0.440000, 3.530000, 0.440000, 
